PlayerID,Player,Team,G,GS,QS,CG,SHO,IP,W,L,H,HR,ER,BB,K,HLD,SV,BS,ERA,WHIP,K/9,BB/9,K/BB,HR/9
19215,Justin Chambers,LAD,0,0,0,0,0,1,0,0,0.94,0,0.71,0.79,0.95,0,0,0,6.37,1.72,8.59,7.07,1.22,0.00
17896,Chandler Champlain,KC,0,0,0,0,0,1,0,0,1.33,0,0.94,0.55,0.7,0,0,0,8.49,1.88,6.31,4.91,1.28,0.00
17314,Bubba Chandler,PIT,31,24,9,0,0,141,9,4,124,19,67,43,124,0,0,0,4.28,1.18,7.91,2.74,2.88,1.21
10866,Aroldis Chapman,BOS,60,0,0,0,0,58,5,4,40,5,20,24,73,2,27,5,3.10,1.10,11.33,3.72,3.04,0.78
20741,Emmanuel Chapman,FA,0,0,0,0,0,1,0,0,0.93,0,0.61,0.73,0.78,0,0,0,5.48,1.66,6.98,6.55,1.07,0.00
12525,JT Chargois,FA,0,0,0,0,0,1,0,0,0.93,0,0.5,0.39,0.93,0,0,0,4.49,1.32,8.34,3.53,2.36,0.00
14761,Wandisson Charles,DET,0,0,0,0,0,1,0,0,1.05,0,0.85,0.85,0.97,0,0,0,7.61,1.90,8.72,7.61,1.15,0.00
10506,Tyler Chatwood,ARI,0,0,0,0,0,1,0,0,0.94,0,0.52,0.42,0.91,0,0,0,4.64,1.36,8.23,3.80,2.17,0.00
10772,Jesse Chavez,FA,0,0,0,0,0,1,0,0,0.96,0,0.41,0.39,0.97,0,0,0,3.70,1.35,8.74,3.47,2.52,0.00
17111,Po-Yu Chen,PIT,0,0,0,0,0,1,0,0,1.22,0,0.79,0.61,0.68,0,0,0,7.11,1.83,6.15,5.53,1.11,0.00
20095,Will Childers,MIL,0,0,0,0,0,1,0,0,1.02,0,0.69,0.65,0.79,0,0,0,6.17,1.66,7.13,5.81,1.23,0.00
15140,Yonny Chirinos,FA,0,0,0,0,0,1,0,0,1.1,0,0.57,0.4,0.75,0,0,0,5.16,1.51,6.75,3.62,1.87,0.00
18721,Angel Chivilli,NYY,22,0,0,0,0,23,1,1,23,4,13,8,19,0,0,1,5.09,1.35,7.43,3.13,2.38,1.57
19857,Jack Choate,SF,0,0,0,0,0,1,0,0,1.08,0,0.61,0.67,0.91,0,0,0,5.45,1.74,8.16,5.99,1.36,0.00
16401,Hyun-il Choi,FA,0,0,0,0,0,1,0,0,1.12,0,0.74,0.43,0.68,0,0,0,6.63,1.55,6.09,3.85,1.58,0.00
