,,,,,2026 Batter Projections,,,,,,,2026 Pitcher Projections,,,,,,
Value,Player,Age,Team,Pos,G,AB,AVG,HR,RBI,SB,R,GS,IP,W,SV,K,ERA,WHIP
11.960963,Vinnie Pasquantino,29,KC,1B/DH,146,557,.257,23,91,2,66,0,0.0,0,0,0,0.00,0.000
11.66015,Tatsuya Imai,28,HOU,SP,30,0,.000,0,0,0,0,30,170.0,9,0,159,3.43,1.124
11.628403,Bryson Stott,29,PHI,2B,140,515,.256,13,62,27,67,0,0.0,0,0,0,0.00,0.000
11.578382,Tyler Soderstrom,25,ATH,1B/OF,140,521,.257,23,77,6,72,0,0.0,0,0,0,0.00,0.000
11.569158,Ian Happ,32,CHC,OF,140,522,.241,21,76,10,80,0,0.0,0,0,0,0.00,0.000
11.520651,Bryan Reynolds,31,PIT,OF/DH,147,582,.258,21,79,7,72,0,0.0,0,0,0,0.00,0.000
11.497175,Brandon Lowe,32,PIT,2B,125,487,.244,26,75,7,72,0,0.0,0,0,0,0.00,0.000
11.162487,Raisel Iglesias,36,ATL,RP,66,0,.000,0,0,0,0,0,66.0,5,30,66,3.27,1.076
11.007409,Eury Perez,23,MIA,SP,27,0,.000,0,0,0,0,27,149.0,10,0,166,3.87,1.087
10.900014,Matt Chapman,33,SF,3B,146,532,.237,23,67,11,84,0,0.0,0,0,0,0.00,0.000
10.88959,Luis Castillo,34,SEA,SP,29,0,.000,0,0,0,0,29,175.0,11,0,163,3.65,1.177
10.843344,Luis Robert,29,NYM,OF,128,483,.232,20,59,26,66,0,0.0,0,0,0,0.00,0.000
10.810336,Colson Montgomery,24,CWS,SS,127,479,.236,27,80,4,71,0,0.0,0,0,0,0.00,0.000
10.658052,Ozzie Albies,29,ATL,2B,139,532,.254,18,74,12,71,0,0.0,0,0,0,0.00,0.000
10.593429,Kyle Stowers,28,MIA,OF,138,494,.241,26,86,6,56,0,0.0,0,0,0,0.00,0.000
10.180909,Andy Pages,26,LAD,OF,136,517,.259,20,69,9,73,0,0.0,0,0,0,0.00,0.000
10.125742,Jac Caglianone,23,KC,OF,139,513,.236,24,77,8,70,0,0.0,0,0,0,0.00,0.000
10.026521,Matthew Boyd,35,CHC,SP,27,0,.000,0,0,0,0,27,155.0,11,0,154,3.66,1.161
10.005596,Jakob Marsee,25,MIA,OF,134,497,.256,14,67,20,65,0,0.0,0,0,0,0.00,0.000
9.9509306,Michael Harris,25,ATL,OF,135,525,.263,18,65,16,62,0,0.0,0,0,0,0.00,0.000
9.8831301,Salvador Perez,36,KC,C/1B/DH,146,547,.250,27,90,0,53,0,0.0,0,0,0,0.00,0.000
9.8581553,Adolis Garcia,33,PHI,OF,131,501,.232,23,78,10,67,0,0.0,0,0,0,0.00,0.000
9.8290148,Shea Langeliers,29,ATH,C,133,487,.242,28,72,6,64,0,0.0,0,0,0,0.00,0.000
9.7632036,Daulton Varsho,30,TOR,OF,131,483,.230,24,73,10,71,0,0.0,0,0,0,0.00,0.000
9.723053,Trevor Story,34,BOS,SS,138,532,.241,16,65,24,62,0,0.0,0,0,0,0.00,0.000
9.7190065,Oneil Cruz,28,PIT,OF,123,461,.230,17,59,26,67,0,0.0,0,0,0,0.00,0.000
9.6456776,Aroldis Chapman,38,BOS,RP,60,0,.000,0,0,0,0,0,58.0,5,27,73,3.10,1.103
9.5480185,Steven Kwan,29,CLE,OF,147,570,.277,11,51,17,84,0,0.0,0,0,0,0.00,0.000
9.4025393,Bo Bichette,28,NYM,SS,141,563,.277,15,74,7,66,0,0.0,0,0,0,0.00,0.000
9.107255,Gleyber Torres,30,DET,2B,149,556,.259,18,68,6,81,0,0.0,0,0,0,0.00,0.000
9.0190725,Xavier Edwards,27,MIA,2B/SS,133,506,.279,7,46,28,70,0,0.0,0,0,0,0.00,0.000
8.9346361,Josh Hader,32,HOU,RP,54,0,.000,0,0,0,0,0,57.0,5,25,68,3.00,1.053
8.9238815,Marcus Semien,36,NYM,2B,139,525,.244,18,69,10,79,0,0.0,0,0,0,0.00,0.000
8.8978462,Drake Baldwin,25,ATL,C,128,458,.264,20,81,2,62,0,0.0,0,0,0,0.00,0.000
8.8448553,Munetaka Murakami,26,CWS,3B,130,457,.228,26,69,9,68,0,0.0,0,0,0,0.00,0.000
8.8004837,Ryan Helsley,32,BAL,RP,63,0,.000,0,0,0,0,0,64.0,5,31,67,3.52,1.219
8.7759275,Jeff Hoffman,33,TOR,RP,64,0,.000,0,0,0,0,0,63.0,5,27,71,3.43,1.111
8.5843964,Jo Adell,27,LAA,OF,138,507,.225,25,74,10,64,0,0.0,0,0,0,0.00,0.000
8.4905701,Dylan Cease,31,TOR,SP,29,0,.000,0,0,0,0,29,174.0,9,0,213,3.88,1.259
8.4380722,Brenton Doyle,28,COL,OF,138,518,.234,16,62,23,65,0,0.0,0,0,0,0.00,0.000
8.3304996,Jameson Taillon,35,CHC,SP,26,0,.000,0,0,0,0,26,156.0,12,0,124,3.81,1.135
8.3183851,Hunter Goodman,27,COL,C/DH,142,520,.233,22,83,6,63,0,0.0,0,0,0,0.00,0.000
8.2975731,Kenley Jansen,39,DET,RP,59,0,.000,0,0,0,0,0,59.0,4,32,57,3.51,1.136
8.2074814,Merrill Kelly,38,ARI,SP,29,0,.000,0,0,0,0,29,172.0,10,0,158,3.92,1.151
8.1179571,Clay Holmes,33,NYM,SP,29,0,.000,0,0,0,0,29,159.0,11,0,153,3.40,1.264
7.9975071,Ranger Suarez,31,BOS,SP,27,0,.000,0,0,0,0,27,164.0,11,0,156,3.51,1.256
7.9931617,Trevor Rogers,29,BAL,SP,27,0,.000,0,0,0,0,27,161.0,9,0,146,3.35,1.193
7.9013128,Caleb Durbin,26,BOS,3B,137,492,.252,13,59,21,65,0,0.0,0,0,0,0.00,0.000
7.7707825,Spencer Strider,28,ATL,SP,26,0,.000,0,0,0,0,26,153.0,10,0,189,3.76,1.268
7.7472153,Willson Contreras,34,BOS,1B,132,481,.254,21,68,6,67,0,0.0,0,0,0,0.00,0.000
7.6991448,Kodai Senga,33,NYM,SP/RP,28,0,.000,0,0,0,0,20,115.0,10,0,138,3.60,1.113
7.6604395,Luke Keaschall,24,MIN,2B,125,468,.259,13,61,19,61,0,0.0,0,0,0,0.00,0.000
7.6466384,Will Smith,31,LAD,C,127,440,.266,19,68,3,71,0,0.0,0,0,0,0.00,0.000
7.5962305,Ezequiel Tovar,25,COL,SS,148,582,.258,18,64,8,73,0,0.0,0,0,0,0.00,0.000
7.4612484,Zac Gallen,31,ARI,SP,30,0,.000,0,0,0,0,30,172.1,12,0,170,4.13,1.225
7.4305882,Spencer Steer,29,CIN,1B,127,471,.242,18,71,12,61,0,0.0,0,0,0,0.00,0.000
7.298296,Daylen Lile,24,WSH,OF,129,481,.272,14,59,11,70,0,0.0,0,0,0,0.00,0.000
7.2759404,Matt McLain,27,CIN,2B,131,478,.245,17,54,17,72,0,0.0,0,0,0,0.00,0.000
7.2367783,Xander Bogaerts,34,SD,SS,133,512,.266,13,54,18,66,0,0.0,0,0,0,0.00,0.000
7.1822205,TJ Friedl,31,CIN,OF,134,496,.252,16,65,12,67,0,0.0,0,0,0,0.00,0.000
7.0435791,Michael Wacha,35,KC,SP,28,0,.000,0,0,0,0,28,165.0,10,0,135,3.49,1.200
6.9975748,Carlos Estevez,34,KC,RP,65,0,.000,0,0,0,0,0,65.0,4,32,58,3.74,1.200
6.9687052,Alec Bohm,30,PHI,3B,135,522,.280,14,72,4,62,0,0.0,0,0,0,0.00,0.000
6.8385935,Yainer Diaz,28,HOU,C/DH,133,497,.272,20,70,2,59,0,0.0,0,0,0,0.00,0.000
6.8285103,Nick Lodolo,28,CIN,SP,30,0,.000,0,0,0,0,30,170.0,10,0,173,4.02,1.206
6.7370176,Shane McClanahan,29,TB,SP,22,0,.000,0,0,0,0,22,128.0,9,0,134,3.23,1.180
6.6704679,David Bednar,32,NYY,RP,65,0,.000,0,0,0,0,0,64.0,4,29,68,3.66,1.188
6.5749578,Spencer Torkelson,27,DET,1B,147,536,.231,24,71,2,75,0,0.0,0,0,0,0.00,0.000
6.5123038,Alec Burleson,28,STL,1B/OF/DH,137,518,.266,17,67,7,60,0,0.0,0,0,0,0.00,0.000
6.5009308,Harrison Bader,32,SF,OF,124,477,.247,15,58,17,65,0,0.0,0,0,0,0.00,0.000
6.3487663,Luis Garcia,26,WSH,2B,125,472,.261,15,60,14,60,0,0.0,0,0,0,0.00,0.000
6.2026439,Joe Musgrove,34,SD,SP,25,0,.000,0,0,0,0,25,142.0,8,0,142,3.49,1.155
6.1309381,Kerry Carpenter,29,DET,OF/DH,117,435,.255,22,66,4,60,0,0.0,0,0,0,0.00,0.000
6.0780149,Royce Lewis,27,MIN,3B,121,451,.246,19,67,10,57,0,0.0,0,0,0,0.00,0.000
6.0490017,Otto Lopez,28,MIA,2B/SS,133,501,.255,11,61,18,61,0,0.0,0,0,0,0.00,0.000
6.0236125,Wilyer Abreu,27,BOS,OF,125,443,.251,17,67,10,59,0,0.0,0,0,0,0.00,0.000
6.0008063,Mike Trout,35,LAA,OF/DH,122,438,.235,24,57,9,66,0,0.0,0,0,0,0.00,0.000
5.9077001,Ceddanne Rafaela,26,BOS,2B/OF,138,509,.244,15,56,16,70,0,0.0,0,0,0,0.00,0.000
5.9061933,Jacob Wilson,24,ATH,SS,138,529,.280,12,57,8,71,0,0.0,0,0,0,0.00,0.000
5.7797809,Kris Bubic,29,KC,SP,27,0,.000,0,0,0,0,27,149.0,6,0,147,3.26,1.161
5.7753201,Ramon Laureano,32,SD,OF,124,462,.251,18,60,11,62,0,0.0,0,0,0,0.00,0.000
5.6022263,Pete Fairbanks,33,MIA,RP,62,0,.000,0,0,0,0,0,63.0,4,26,61,3.43,1.143
5.4705849,Luis Arraez,29,SF,1B/DH,140,580,.302,6,54,8,70,0,0.0,0,0,0,0.00,0.000
5.4394112,Jasson Dominguez,23,NYY,OF,126,449,.232,19,56,16,62,0,0.0,0,0,0,0.00,0.000
5.3076448,Lawrence Butler,26,ATH,OF,133,492,.238,19,56,14,64,0,0.0,0,0,0,0.00,0.000
5.2186627,Carlos Rodon,34,NYY,SP,24,0,.000,0,0,0,0,24,144.0,11,0,152,4.19,1.194
5.2006888,Emilio Pagan,35,CIN,RP,66,0,.000,0,0,0,0,0,66.0,3,27,66,3.68,1.121
5.1836386,Gavin Williams,27,CLE,SP,28,0,.000,0,0,0,0,28,163.0,10,0,167,3.70,1.294
